Value,Cell,Alignment ,Type
19.2465861,231,Random,231_RM
16.6373391,231,Random,231_RM
73.2295733,231,Random,231_RM
62.746976,231,Random,231_RM
3.38937978,231,Random,231_RM
37.4355083,231,Random,231_RM
10.811185,231,Random,231_RM
41.2161753,231,Random,231_RM
20.5069051,231,Random,231_RM
5.3932251,231,Random,231_RM
53.326544,231,Random,231_RM
72.4160996,231,Random,231_RM
18.8541088,231,Random,231_RM
9.84750151,231,Random,231_RM
3.49799351,231,Random,231_RM
21.2993519,231,Random,231_RM
35.4471816,231,Random,231_RM
33.316015,231,Random,231_RM
6.24966823,231,Random,231_RM
4.10095377,231,Random,231_RM
32.6606552,231,Random,231_RM
27.8927448,231,Random,231_RM
50.8608081,231,Random,231_RM
3.89092858,231,Random,231_RM
30.5387661,231,Random,231_RM
17.9957125,231,Random,231_RM
3.73615632,231,Random,231_RM
5.16429398,231,Random,231_RM
70.40258,231,Random,231_RM
22.4006718,231,Random,231_RM
14.3732206,231,Random,231_RM
50.784452,231,Random,231_RM
6.97589087,231,Random,231_RM
18.6214544,231,Random,231_RM
45.5632266,231,Random,231_RM
13.995041,231,Random,231_RM
68.8415669,231,Random,231_RM
42.6219737,231,Random,231_RM
7.47602057,231,Random,231_RM
5.5664913,231,Random,231_RM
7.80157183,231,Random,231_RM
41.0932944,231,Random,231_RM
4.04667742,231,Random,231_RM
9.37129797,231,Random,231_RM
5.49593357,231,Random,231_RM
4.34250409,231,Random,231_RM
3.58764026,231,Random,231_RM
18.0625318,231,Random,231_RM
23.6612501,231,Random,231_RM
46.2411697,231,Random,231_RM
5.94491504,231,Random,231_RM
60.4444352,231,Random,231_RM
92.7006039,231,Random,231_RM
70.1748696,231,Random,231_RM
70.0334033,231,Random,231_RM
4.03280696,231,Random,231_RM
80.5322208,231,Random,231_RM
16.7409784,231,Random,231_RM
31.601969,231,Random,231_RM
22.4156714,231,Random,231_RM
84.5221192,231,Random,231_RM
25.3594572,231,Random,231_RM
28.2130012,231,Random,231_RM
12.2879837,231,Random,231_RM
6.04121473,231,Random,231_RM
31.7789737,231,Random,231_RM
49.8660725,231,Random,231_RM
3.80720233,231,Random,231_RM
9.52999179,231,Random,231_RM
6.19261475,231,Random,231_RM
35.756253,231,Random,231_RM
44.9728092,231,Random,231_RM
6.90746942,231,Random,231_RM
41.5752201,231,Random,231_RM
4.93282988,231,Random,231_RM
12.2952165,231,Random,231_RM
17.0025944,231,Random,231_RM
38.1702914,231,Random,231_RM
5.01870764,231,Random,231_RM
78.4088361,231,Random,231_RM
30.7991613,231,Random,231_RM
20.6802323,231,Random,231_RM
32.1383389,231,Random,231_RM
4.4734265,231,Random,231_RM
8.4530863,231,Random,231_RM
67.7822245,231,Random,231_RM
55.8328994,231,Random,231_RM
37.4980245,231,Random,231_RM
30.1669341,231,Random,231_RM
65.5839945,231,Random,231_RM
38.7876408,231,Random,231_RM
54.0210584,231,Random,231_RM
7.89897016,231,Random,231_RM
13.2121464,231,Random,231_RM
6.2132907,231,Random,231_RM
34.350714,231,Random,231_RM
17.8589307,231,Random,231_RM
19.2390024,231,Random,231_RM
12.9957887,231,Random,231_RM
5.86813164,231,Random,231_RM
36.0955984,231,Random,231_RM
48.147815,231,Random,231_RM
22.9698791,231,Random,231_RM
44.8966515,231,Random,231_RM
21.2435648,231,Random,231_RM
9.16627772,231,Random,231_RM
14.2275275,231,Random,231_RM
5.67718023,231,Random,231_RM
18.3629514,231,Random,231_RM
43.2062875,231,Random,231_RM
19.3244072,231,Random,231_RM
10.5989473,231,Random,231_RM
9.3593654,231,Random,231_RM
10.1311819,231,Random,231_RM
11.167056,231,Random,231_RM
16.2803543,231,Random,231_RM
20.5275657,231,Random,231_RM
24.2947742,231,Random,231_RM
30.8824298,231,Random,231_RM
18.7801178,231,Random,231_RM
19.8753799,231,Random,231_RM
10.5897919,231,Random,231_RM
38.3895785,231,Random,231_RM
16.3188833,231,Random,231_RM
12.5390862,231,Random,231_RM
9.90695061,231,Random,231_RM
52.4779128,231,Random,231_RM
21.0051119,231,Random,231_RM
40.7226373,231,Random,231_RM
71.7304349,231,Random,231_RM
30.3034872,231,Random,231_RM
44.8210427,231,Random,231_RM
8.6947892,231,Random,231_RM
42.8852833,231,Random,231_RM
6.07792793,231,Random,231_RM
6.52988491,231,Random,231_RM
10.0381325,231,Random,231_RM
54.4560777,231,Random,231_RM
31.2488904,231,Random,231_RM
8.97154205,231,Random,231_RM
12.5934388,231,Random,231_RM
3.90382245,231,Random,231_RM
16.4105748,231,Random,231_RM
34.3871067,231,Random,231_RM
33.8204932,231,Random,231_RM
3.44785235,231,Random,231_RM
16.8286414,231,Random,231_RM
38.8932332,231,Random,231_RM
4.00570695,231,Random,231_RM
30.3152977,231,Random,231_RM
13.1909516,231,Random,231_RM
13.9551235,231,Random,231_RM
16.3199515,231,Random,231_RM
4.91003289,231,Random,231_RM
21.3074696,231,Random,231_RM
7.6036623,231,Random,231_RM
66.4502644,231,Random,231_RM
6.80292986,231,Random,231_RM
23.7372858,231,Random,231_RM
14.0750441,231,Random,231_RM
38.8757614,231,Random,231_RM
7.20680561,231,Random,231_RM
33.8774705,231,Random,231_RM
15.2356911,231,Random,231_RM
32.200916,231,Random,231_RM
12.5101398,231,Random,231_RM
3.45281154,231,Random,231_RM
29.4637527,231,Random,231_RM
6.13398959,231,Random,231_RM
14.4149693,231,Random,231_RM
11.1887543,231,Random,231_RM
5.89936685,231,Random,231_RM
8.14554065,231,Random,231_RM
3.5626765,231,Random,231_RM
28.808103,231,Random,231_RM
11.1216909,231,Random,231_RM
37.4494094,231,Random,231_RM
36.3188837,231,Random,231_RM
11.4976732,231,Random,231_RM
5.03515688,231,Random,231_RM
4.14270244,231,Random,231_RM
39.1582368,231,Random,231_RM
26.4913714,231,Random,231_RM
5.38861687,231,Random,231_RM
23.7489895,231,Random,231_RM
42.7745334,231,Random,231_RM
4.65316252,231,Random,231_RM
11.5836883,231,Random,231_RM
12.3589077,231,Random,231_RM
3.82320904,231,Random,231_RM
31.334692,231,Random,231_RM
41.7341579,231,Random,231_RM
6.05163663,231,Random,231_RM
19.0907152,231,Random,231_RM
21.5811859,231,Random,231_RM
3.84290843,231,Random,231_RM
58.7907999,231,Random,231_RM
3.89398038,231,Random,231_RM
19.6397957,231,Random,231_RM
72.4890072,231,Random,231_RM
32.5944158,231,Random,231_RM
18.1264519,231,Random,231_RM
3.63456175,231,Random,231_RM
16.6811783,231,Random,231_RM
8.7799498,231,Random,231_RM
16.3284202,231,Random,231_RM
6.557412195,231,Random,231_RM
8.329564502,231,Random,231_RM
35.42346902,231,Random,231_RM
30.25861046,231,Random,231_RM
5.85915933,231,Random,231_RM
18.70148811,231,Random,231_RM
21.4311288,231,Random,231_RM
5.809628544,231,Random,231_RM
36.83798037,231,Random,231_RM
17.68090366,231,Random,231_RM
21.42078318,231,Random,231_RM
76.05729902,231,Random,231_RM
6.322026516,231,Random,231_RM
12.8234381,231,Random,231_RM
15.53704156,231,Random,231_RM
4.883161755,231,Random,231_RM
53.93385312,231,Random,231_RM
62.74017053,231,Random,231_RM
43.27368661,231,Random,231_RM
5.21823463,231,Random,231_RM
19.46659072,231,Random,231_RM
4.546379887,231,Random,231_RM
73.38628349,231,Random,231_RM
30.19792532,231,Random,231_RM
51.38542856,231,Random,231_RM
30.44782233,231,Random,231_RM
45.82134821,231,Random,231_RM
27.74105492,231,Random,231_RM
42.76098348,231,Random,231_RM
20.4724502,231,Random,231_RM
9.808301075,231,Random,231_RM
5.109941345,231,Random,231_RM
36.60701981,231,Random,231_RM
19.43370754,231,Random,231_RM
11.77006201,231,Random,231_RM
43.97911121,231,Random,231_RM
9.552697212,231,Random,231_RM
17.64356482,231,Random,231_RM
7.894560295,231,Random,231_RM
36.17152731,231,Random,231_RM
13.59237073,231,Random,231_RM
20.92382734,231,Random,231_RM
7.903868309,231,Random,231_RM
5.583108362,231,Random,231_RM
31.70743926,231,Random,231_RM
4.819668962,231,Random,231_RM
10.02366693,231,Random,231_RM
53.85240042,231,Random,231_RM
13.46988657,231,Random,231_RM
15.32295748,231,Random,231_RM
3.921263511,231,Random,231_RM
41.45613869,231,Random,231_RM
18.05720641,231,Random,231_RM
15.76452305,231,Random,231_RM
19.87660064,231,Random,231_RM
16.83350912,231,Random,231_RM
12.11422926,231,Random,231_RM
71.43863714,231,Random,231_RM
7.010391525,231,Random,231_RM
25.12901549,231,Random,231_RM
41.99089112,231,Random,231_RM
9.380316031,231,Random,231_RM
26.78410058,231,Random,231_RM
63.16083124,231,Random,231_RM
24.16557607,231,Random,231_RM
45.7208523,231,Random,231_RM
10.22792419,231,Random,231_RM
76.91513075,231,Random,231_RM
15.6939806,231,Random,231_RM
62.42224881,231,Random,231_RM
7.29112701,231,Random,231_RM
7.472144789,231,Random,231_RM
50.40080966,231,Random,231_RM
22.65041623,231,Random,231_RM
3.610299899,231,Random,231_RM
69.99362302,231,Random,231_RM
4.672800877,231,Random,231_RM
8.317692996,231,Random,231_RM
7.927062022,231,Random,231_RM
7.162005169,231,Random,231_RM
4.313450908,231,Random,231_RM
54.98426896,231,Random,231_RM
6.83820872,231,Random,231_RM
23.33879649,231,Random,231_RM
10.05206397,231,Random,231_RM
9.380926392,231,Random,231_RM
41.47164189,231,Random,231_RM
12.10319699,231,Random,231_RM
14.00332672,231,Random,231_RM
21.0472118,231,Random,231_RM
