Value,Cell,Alignment,Type
0.030284864,231,Aligned,231_AM
0.598641402,231,Aligned,231_AM
0.455483982,231,Aligned,231_AM
0.430584438,231,Aligned,231_AM
0.007519615,231,Aligned,231_AM
0.026548073,231,Aligned,231_AM
0.583658857,231,Aligned,231_AM
0.162612885,231,Aligned,231_AM
0.673260885,231,Aligned,231_AM
0.818610411,231,Aligned,231_AM
0.192283631,231,Aligned,231_AM
0.567346822,231,Aligned,231_AM
0.042277431,231,Aligned,231_AM
0.0099209,231,Aligned,231_AM
0.023190067,231,Aligned,231_AM
0.827153786,231,Aligned,231_AM
0.040683687,231,Aligned,231_AM
0.065701225,231,Aligned,231_AM
0.024274083,231,Aligned,231_AM
0.183440438,231,Aligned,231_AM
0.026842968,231,Aligned,231_AM
0.044909052,231,Aligned,231_AM
0.584394544,231,Aligned,231_AM
0.801957342,231,Aligned,231_AM
0.388468845,231,Aligned,231_AM
0.330542737,231,Aligned,231_AM
0.240294019,231,Aligned,231_AM
0.321894499,231,Aligned,231_AM
0.70630678,231,Aligned,231_AM
0.396308265,231,Aligned,231_AM
0.225511899,231,Aligned,231_AM
0.552072663,231,Aligned,231_AM
0.154449208,231,Aligned,231_AM
0.006490857,231,Aligned,231_AM
0.503713398,231,Aligned,231_AM
0.50151564,231,Aligned,231_AM
0.235163179,231,Aligned,231_AM
0.484889744,231,Aligned,231_AM
0.248060674,231,Aligned,231_AM
0.020831639,231,Aligned,231_AM
0.878534582,231,Aligned,231_AM
0.193305641,231,Aligned,231_AM
0.772672127,231,Aligned,231_AM
0.159694212,231,Aligned,231_AM
0.138695594,231,Aligned,231_AM
0.286229019,231,Aligned,231_AM
0.160348014,231,Aligned,231_AM
0.051690171,231,Aligned,231_AM
0.614744259,231,Aligned,231_AM
0.168457527,231,Aligned,231_AM
0.859845152,231,Aligned,231_AM
0.673622711,231,Aligned,231_AM
0.908282288,231,Aligned,231_AM
0.014379153,231,Aligned,231_AM
0.020853706,231,Aligned,231_AM
0.897087597,231,Aligned,231_AM
0.009342235,231,Aligned,231_AM
0.211033609,231,Aligned,231_AM
0.01465654,231,Aligned,231_AM
0.240349278,231,Aligned,231_AM
0.259834577,231,Aligned,231_AM
0.202097041,231,Aligned,231_AM
0.442912752,231,Aligned,231_AM
0.143314882,231,Aligned,231_AM
0.033578494,231,Aligned,231_AM
0.782855206,231,Aligned,231_AM
0.03965803,231,Aligned,231_AM
0.024317852,231,Aligned,231_AM
0.607295843,231,Aligned,231_AM
0.302762271,231,Aligned,231_AM
0.174042836,231,Aligned,231_AM
0.466970833,231,Aligned,231_AM
0.779736472,231,Aligned,231_AM
0.188708968,231,Aligned,231_AM
0.149458065,231,Aligned,231_AM
0.095227716,231,Aligned,231_AM
0.022198878,231,Aligned,231_AM
0.099496849,231,Aligned,231_AM
0.172477724,231,Aligned,231_AM
0.408270924,231,Aligned,231_AM
0.335626524,231,Aligned,231_AM
0.17214216,231,Aligned,231_AM
0.041085998,231,Aligned,231_AM
0.191762778,231,Aligned,231_AM
0.250873936,231,Aligned,231_AM
0.26836555,231,Aligned,231_AM
0.10520836,231,Aligned,231_AM
0.021122521,231,Aligned,231_AM
0.192594392,231,Aligned,231_AM
0.382580981,231,Aligned,231_AM
0.022349152,231,Aligned,231_AM
0.318843242,231,Aligned,231_AM
0.639502281,231,Aligned,231_AM
