,Number ,,,,,,,Cicrularity ,,Alignment,Cell
26,Trial1_6-0002.tif,135.133,430.299,149,1798,0.913,1.329,0.752,0.978,RM,MDA-MB-231
27,Trial1_6-0002.tif,135.115,342.774,148,1561,0.874,1.351,0.74,0.975,RM,MDA-MB-231
28,Trial1_8-0002.tif,59.449,479.344,148,1579,0.912,1.269,0.788,0.969,RM,MDA-MB-231
29,Trial1_8-0002.tif,62.731,464.612,148,1593,0.765,1.906,0.525,0.963,RM,MDA-MB-231
30,Trial1_8-0002.tif,84.36,536.453,148,2244,0.938,1.158,0.863,0.977,RM,MDA-MB-231
31,Trial1_8-0002.tif,111.383,398.502,146,1686,0.823,1.747,0.573,0.969,RM,MDA-MB-231
32,Trial1_8-0002.tif,51.532,623.966,148,2956,0.873,1.407,0.711,0.961,RM,MDA-MB-231
33,Trial1_10-0002.tif,179.498,366.135,147,1398,0.941,1.131,0.884,0.982,RM,MDA-MB-231
34,Trial1_10-0002.tif,129.913,376.596,147,1987,0.869,1.548,0.646,0.975,RM,MDA-MB-231
35,Trial1_10-0002.tif,88.519,346.133,148,1355,0.957,1.108,0.902,0.979,RM,MDA-MB-231
36,Trial1_10-0002.tif,106.483,402.612,148,2021,0.904,1.447,0.691,0.978,RM,MDA-MB-231
37,Trial2_11-0002.tif,115.579,411.323,147,1591,0.898,1.436,0.696,0.973,RM,MDA-MB-231
38,Trial2_11-0002.tif,101.263,347.625,148,1172,0.914,1.139,0.878,0.978,RM,MDA-MB-231
39,Trial2_11-0002.tif,164.231,431.866,148,1909,0.945,1.039,0.963,0.98,RM,MDA-MB-231
40,Trial2_11-0002.tif,114.893,314.396,147,1398,0.88,1.267,0.789,0.975,RM,MDA-MB-231
41,Trial2_11-0002.tif,107.424,399.117,149,1521,0.877,1.452,0.689,0.974,RM,MDA-MB-231
42,Trial2_12-0002.tif,112.425,356.073,148,1501,0.928,1.177,0.85,0.972,RM,MDA-MB-231
43,Trial2_12-0002.tif,76.781,297.733,148,1261,0.908,1.319,0.758,0.975,RM,MDA-MB-231
44,Trial2_12-0002.tif,119.336,463.039,149,1915,0.944,1.148,0.871,0.98,RM,MDA-MB-231
45,Trial2_12-0002.tif,59.366,326.874,148,1141,0.853,1.544,0.648,0.966,RM,MDA-MB-231
46,Trial2_13-0002.tif,96.4,550.867,148,2149,0.907,1.155,0.866,0.976,RM,MDA-MB-231
47,Trial2_13-0002.tif,71.625,405.203,148,1481,0.803,1.949,0.513,0.967,RM,MDA-MB-231
48,Trial2_13-0002.tif,110.871,421.998,148,1600,0.868,1.2,0.834,0.964,RM,MDA-MB-231
49,Trial2_13-0002.tif,101.976,428.837,148,1474,0.937,1.216,0.822,0.975,RM,MDA-MB-231
50,Trial2_13-0002.tif,78.573,436.091,148,1565,0.852,1.028,0.973,0.978,RM,MDA-MB-231
51,Trial2_13-0002.tif,86.316,390.636,148,1834,0.812,1.493,0.67,0.969,RM,MDA-MB-231
52,Trial2_14-0002.tif,113.376,501.949,148,1775,0.919,1.22,0.819,0.982,RM,MDA-MB-231
53,Trial2_14-0002.tif,100.833,372.9,148,1375,0.895,1.419,0.705,0.974,RM,MDA-MB-231
54,Trial2_14-0002.tif,83.226,361.584,148,1645,0.841,1.476,0.678,0.967,RM,MDA-MB-231
55,Trial2_14-0002.tif,148.8,355.656,147,1742,0.914,1.271,0.787,0.975,RM,MDA-MB-231
56,Trial2_15-0002.tif,97.945,522.495,148,2276,0.816,1.714,0.583,0.966,RM,MDA-MB-231
57,Trial2_15-0002.tif,210.47,468.713,148,2171,0.912,1.217,0.822,0.98,RM,MDA-MB-231
58,Trial2_15-0002.tif,131.595,461.678,149,1832,0.875,1.526,0.655,0.978,RM,MDA-MB-231
